,ranks,experiment,iteration,size,average_latency_us,nodes
439,2,bare-metal,16,64.0,7.89,2
440,2,bare-metal,16,128.0,7.91,2
441,2,bare-metal,16,256.0,7.92,2
442,2,bare-metal,16,512.0,7.96,2
443,2,bare-metal,16,1024.0,8.05,2
444,2,bare-metal,16,2048.0,8.33,2
445,2,bare-metal,16,4096.0,8.71,2
446,2,bare-metal,16,8192.0,9.55,2
447,2,bare-metal,16,16384.0,10.17,2
448,2,bare-metal,16,32768.0,11.43,2
449,2,bare-metal,16,65536.0,13.93,2
450,2,bare-metal,16,131072.0,33.97,2
451,2,bare-metal,16,262144.0,43.91,2
452,2,bare-metal,16,524288.0,80.59,2
453,2,bare-metal,16,1048576.0,77.86,2
454,2,bare-metal,16,2097152.0,156.51,2
455,2,bare-metal,16,4194304.0,240.27,2
456,2,bare-metal,1,0.0,7.46,2
457,2,bare-metal,1,1.0,7.49,2
458,2,bare-metal,1,2.0,7.47,2
459,2,bare-metal,1,4.0,7.48,2
460,2,bare-metal,1,8.0,7.79,2
461,2,bare-metal,1,16.0,7.8,2
462,2,bare-metal,1,32.0,7.79,2
463,2,bare-metal,1,64.0,7.9,2
464,2,bare-metal,1,128.0,7.92,2
465,2,bare-metal,1,256.0,7.92,2
466,2,bare-metal,1,512.0,7.98,2
467,2,bare-metal,1,1024.0,8.06,2
468,2,bare-metal,1,2048.0,8.34,2
469,2,bare-metal,1,4096.0,8.75,2
470,2,bare-metal,1,8192.0,9.61,2
471,2,bare-metal,1,16384.0,10.17,2
472,2,bare-metal,1,32768.0,11.45,2
473,2,bare-metal,1,65536.0,13.93,2
474,2,bare-metal,1,131072.0,33.94,2
475,2,bare-metal,1,262144.0,44.09,2
476,2,bare-metal,1,524288.0,80.59,2
477,2,bare-metal,1,1048576.0,77.72,2
478,2,bare-metal,1,2097152.0,156.38,2
479,2,bare-metal,1,4194304.0,238.19,2
480,2,container-with-usernetes,9,0.0,7.48,2
481,2,container-with-usernetes,9,1.0,7.5,2
482,2,container-with-usernetes,9,2.0,7.49,2
483,2,container-with-usernetes,9,4.0,7.5,2
484,2,container-with-usernetes,9,8.0,7.8,2
485,2,container-with-usernetes,9,16.0,7.81,2
486,2,container-with-usernetes,9,32.0,7.81,2
487,2,container-with-usernetes,9,64.0,7.91,2
488,2,container-with-usernetes,9,128.0,7.92,2
489,2,container-with-usernetes,9,256.0,7.94,2
490,2,container-with-usernetes,9,512.0,7.99,2
491,2,container-with-usernetes,9,1024.0,8.09,2
492,2,container-with-usernetes,9,2048.0,8.35,2
493,2,container-with-usernetes,9,4096.0,8.76,2
494,2,container-with-usernetes,9,8192.0,9.6,2
495,2,container-with-usernetes,9,16384.0,10.23,2
496,2,container-with-usernetes,9,32768.0,11.47,2
497,2,container-with-usernetes,9,65536.0,13.96,2
498,2,container-with-usernetes,9,131072.0,34.19,2
499,2,container-with-usernetes,9,262144.0,44.25,2
500,2,container-with-usernetes,9,524288.0,80.79,2
501,2,container-with-usernetes,9,1048576.0,77.99,2
502,2,container-with-usernetes,9,2097152.0,156.52,2
503,2,container-with-usernetes,9,4194304.0,238.03,2
504,2,container-with-usernetes,5,0.0,7.46,2
505,2,container-with-usernetes,5,1.0,7.5,2
506,2,container-with-usernetes,5,2.0,7.5,2
507,2,container-with-usernetes,5,4.0,7.49,2
508,2,container-with-usernetes,5,8.0,7.8,2
509,2,container-with-usernetes,5,16.0,7.8,2
510,2,container-with-usernetes,5,32.0,7.81,2
511,2,container-with-usernetes,5,64.0,7.91,2
512,2,container-with-usernetes,5,128.0,7.94,2
513,2,container-with-usernetes,5,256.0,7.95,2
514,2,container-with-usernetes,5,512.0,7.98,2
515,2,container-with-usernetes,5,1024.0,8.09,2
516,2,container-with-usernetes,5,2048.0,8.35,2
517,2,container-with-usernetes,5,4096.0,8.79,2
518,2,container-with-usernetes,5,8192.0,9.61,2
519,2,container-with-usernetes,5,16384.0,10.2,2
520,2,container-with-usernetes,5,32768.0,11.43,2
521,2,container-with-usernetes,5,65536.0,13.92,2
522,2,container-with-usernetes,5,131072.0,33.84,2
523,2,container-with-usernetes,5,262144.0,44.06,2
524,2,container-with-usernetes,5,524288.0,80.66,2
525,2,container-with-usernetes,5,1048576.0,77.83,2
526,2,container-with-usernetes,5,2097152.0,156.48,2
527,2,container-with-usernetes,5,4194304.0,238.85,2
528,2,container-with-usernetes,11,0.0,7.46,2
529,2,container-with-usernetes,11,1.0,7.48,2
530,2,container-with-usernetes,11,2.0,7.47,2
531,2,container-with-usernetes,11,4.0,7.47,2
532,2,container-with-usernetes,11,8.0,7.79,2
533,2,container-with-usernetes,11,16.0,7.8,2
534,2,container-with-usernetes,11,32.0,7.79,2
535,2,container-with-usernetes,11,64.0,7.92,2
536,2,container-with-usernetes,11,128.0,7.92,2
537,2,container-with-usernetes,11,256.0,7.95,2
538,2,container-with-usernetes,11,512.0,7.98,2
539,2,container-with-usernetes,11,1024.0,8.07,2
540,2,container-with-usernetes,11,2048.0,8.34,2
541,2,container-with-usernetes,11,4096.0,8.79,2
542,2,container-with-usernetes,11,8192.0,9.62,2
543,2,container-with-usernetes,11,16384.0,10.17,2
544,2,container-with-usernetes,11,32768.0,11.45,2
545,2,container-with-usernetes,11,65536.0,14.05,2
546,2,container-with-usernetes,11,131072.0,34.14,2
547,2,container-with-usernetes,11,262144.0,44.2,2
548,2,container-with-usernetes,11,524288.0,80.69,2
549,2,container-with-usernetes,11,1048576.0,77.85,2
550,2,container-with-usernetes,11,2097152.0,156.29,2
551,2,container-with-usernetes,11,4194304.0,240.34,2
552,2,container-with-usernetes,15,0.0,7.46,2
553,2,container-with-usernetes,15,1.0,7.47,2
554,2,container-with-usernetes,15,2.0,7.46,2
555,2,container-with-usernetes,15,4.0,7.47,2
556,2,container-with-usernetes,15,8.0,7.77,2
557,2,container-with-usernetes,15,16.0,7.77,2
